service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,1,0,0,0,0,0,20200406,20200524
2,0,0,0,1,0,0,0,20200406,20200524
3,0,0,1,0,0,0,0,20200406,20200524
4,0,0,0,0,1,0,0,20200406,20200524
5,1,0,0,0,0,0,0,20200406,20200524
6,0,0,0,0,1,0,0,20200525,20200906
7,1,1,1,1,0,0,0,20200525,20200906
8,0,0,0,0,0,1,0,20200406,20200524
9,0,0,0,0,0,0,0,20200406,20200524
10,0,0,0,0,0,0,0,20200406,20200524
11,0,0,0,0,0,0,1,20200406,20200524
12,0,0,0,0,0,0,0,20200406,20200524
13,0,0,0,0,0,1,0,20200525,20200906
14,0,0,0,0,0,0,0,20200525,20200906
15,0,0,0,0,0,0,1,20200525,20200906
16,0,0,0,0,0,0,0,20200525,20200906
