stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,100063,Johnson at Douglas,,48.427055,-123.363976,,,0,,2
2,100041,Humboldt at Quadra,,48.418619,-123.361018,,,0,,2
3,100059,Humboldt at Vancouver,,48.417352,-123.35908,,,0,,2
4,100074,Richardson at Vancouver,,48.419836,-123.357282,,,0,,2
5,100109,Richardson at Cook,,48.419525,-123.354439,,,0,,2
6,100139,Richardson at Linden,,48.419174,-123.351184,,,0,,2
7,100167,Richardson at Moss,,48.418777,-123.347578,,,0,,2
8,100199,Richardson at Kipling,,48.416621,-123.344415,,,0,,2
9,100249,Richardson at Stannard,,48.416189,-123.340433,,,0,,2
10,100293,Richardson at St Charles,,48.41617,-123.337102,,,0,,2
11,100375,Richardson at Richmond,,48.417687,-123.330934,,,0,,2
12,100425,Richardson at Lawndale,,48.419518,-123.327641,,,0,,2
13,100500,McNeill at Foul Bay,,48.420237,-123.322808,,,0,,2
14,100558,McNeill at Falkland,,48.420173,-123.319446,,,0,,2
15,100583,Victoria at McNeill,,48.42061,-123.31835,,,0,,2
16,100582,Victoria at Windsor,,48.421785,-123.318414,,,0,,2
17,100629,Windsor at Hampshire,,48.421983,-123.315626,,,0,,2
18,100654,Windsor at Monterey,,48.421968,-123.313899,,,0,,2
19,100690,Windsor at St Patrick,,48.421947,-123.311388,,,0,,2
20,100715,Windsor at Transit,,48.421933,-123.309428,,,0,,2
21,100765,Newport at Windsor - Windsor Park,,48.4233,-123.306243,,,0,,2
22,100788,Newport at Orchard,,48.421627,-123.30401,,,0,,2
23,100796,Newport at Margate,,48.420419,-123.303297,,,0,,2
24,100791,"Newport, 840 block",,48.418297,-123.303814,,,0,,2
25,100786,Central at Newport,,48.416494,-123.304258,,,0,,2
26,100764,Central at Byng,,48.416552,-123.306332,,,0,,2
27,100721,Central at Transit,,48.416636,-123.309236,,,0,,2
28,100694,Central at St Patrick,,48.416662,-123.311572,,,0,,2
29,100633,Central at Monterey,,48.416657,-123.315262,,,0,,2
30,100591,Victoria at Central,,48.417087,-123.317866,,,0,,2
31,100589,Victoria at Pentland,,48.419569,-123.317732,,,0,,2
32,100552,McNeill at Falkland,,48.420328,-123.320491,,,0,,2
33,100504,McNeill at Foul Bay,,48.42037,-123.322944,,,0,,2
34,100437,Richardson at Moss Park,,48.419871,-123.326747,,,0,,2
35,100393,Richardson at Gonzales,,48.418354,-123.330082,,,0,,2
36,100357,Richardson at Richmond,,48.417557,-123.331826,,,0,,2
37,100284,Richardson at St Charles,,48.416244,-123.338068,,,0,,2
38,100244,Richardson at Arnold,,48.416427,-123.341412,,,0,,2
39,100202,Richardson at Kipling,,48.416751,-123.344371,,,0,,2
40,100174,Richardson at Moss,,48.418867,-123.347129,,,0,,2
41,100138,Richardson at Linden,,48.419358,-123.351853,,,0,,2
42,100094,Richardson at Cook,,48.419742,-123.355459,,,0,,2
43,100075,Richardson at Vancouver,,48.419964,-123.357486,,,0,,2
44,100062,Vancouver at Collinson,,48.418887,-123.35822,,,0,,2
45,100060,Humboldt at Vancouver,,48.417467,-123.358969,,,0,,2
46,100040,Humboldt at Quadra,,48.418815,-123.361077,,,0,,2
47,100010,Douglas at Humboldt / Burdett,,48.421901,-123.365971,,,0,,2
48,100032,Douglas at Fort,,48.424372,-123.36532,,,0,,2
49,100110,Dallas at Simcoe,,48.421122,-123.385532,,,0,,2
50,100111,Dallas at Niagara,,48.418635,-123.385404,,,0,,2
51,100116,Dallas at Montreal,,48.416637,-123.385092,,,0,,2
52,100089,Oswego at Dallas,,48.414509,-123.381677,,,0,,2
53,100044,Oswego at St James,,48.417064,-123.378957,,,0,,2
54,100030,Oswego at Michigan,,48.418745,-123.377128,,,0,,2
55,100021,Superior at Oswego,,48.419398,-123.376049,,,0,,2
56,100011,Menzies at Superior,,48.417847,-123.37265,,,0,,2
57,100022,Menzies at Michigan,,48.416611,-123.373348,,,0,,2
58,100036,Menzies at Simcoe,,48.414966,-123.374486,,,0,,2
59,100052,Niagara at Menzies,,48.413576,-123.375286,,,0,,2
60,100058,Niagara at Clarence,,48.412821,-123.373666,,,0,,2
61,100072,Niagara at Government,,48.411934,-123.371807,,,0,,2
62,100090,Niagara at Douglas,,48.410632,-123.36899,,,0,,2
63,100080,Douglas at Beacon - Beacon Hill Park,,48.411968,-123.368022,,,0,,2
