system_id,name,region_id,enabled,visible,prefix_headsign,recolour_black,version,remote_id,gtfs_url,realtime_url
100-mile-house,100 Mile House,northern-bc,1,1,1,0,2,34,,
ashcroft-clinton,Ashcroft-Clinton,southern-interior,0,0,1,0,2,38,,
bella-coola,Bella Coola,northern-bc,0,0,1,0,2,30,,
bulkley-nechako,Bulkley Nechako,northern-bc,0,0,0,0,,,,
campbell-river,Campbell River,vancouver-island,1,1,1,0,2,12,,
clearwater,Clearwater,southern-interior,0,0,1,0,2,35,,
comox,Comox Valley,vancouver-island,1,1,1,0,2,45,,
cowichan-valley,Cowichan Valley,vancouver-island,1,1,1,0,2,10,,
creston-valley,Creston Valley,southern-interior,1,1,1,0,2,16,,
dawson-creek,Dawson Creek,northern-bc,1,1,1,0,2,27,,
east-kootenay,East Kootenay,southern-interior,1,1,1,1,2,21,,
fort-st-john,Fort St. John,northern-bc,1,1,1,0,2,28,,
fraser-valley,Fraser Valley,southern-coast,1,1,1,0,2,13,,
kamloops,Kamloops,southern-interior,1,1,1,0,1,kamloops,,
kelowna,Kelowna,southern-interior,1,1,1,0,2,47,,
kitimat,Kitimat-Stikine,northern-bc,1,1,1,0,2,26,,
merritt,Merritt,southern-interior,1,1,1,0,2,37,,
mount-waddington,Mount Waddington,vancouver-island,1,1,1,0,2,17,,
nanaimo,Nanaimo,vancouver-island,1,1,1,0,2,41,,
north-okanagan,North Okanagan,southern-interior,1,1,1,0,2,14,,
pemberton,Pemberton Valley,southern-coast,0,0,1,0,2,50,,
port-alberni,Port Alberni,vancouver-island,1,1,1,0,2,11,,
powell-river,Powell River,southern-coast,1,1,1,0,2,29,,
prince-george,Prince George,northern-bc,1,1,1,0,2,22,,
prince-rupert,Prince Rupert,northern-bc,1,1,1,0,2,23,,
quesnel,Quesnel,northern-bc,1,1,1,0,2,32,,
revelstoke,Revelstoke,southern-interior,1,1,1,0,2,36,,
salt-spring,Salt Spring Island,vancouver-island,1,1,1,0,2,39,,
smithers,Smithers,northern-bc,1,1,1,0,2,31,,
south-okanagan,South Okanagan,southern-interior,1,1,1,0,2,15,,
squamish,Squamish,southern-coast,1,1,1,0,2,43,,
sunshine-coast,Sunshine Coast,southern-coast,1,1,1,1,2,18,,
victoria,Victoria,vancouver-island,1,1,0,0,1,victoria,,
west-kootenay,West Kootenay,southern-interior,1,1,1,0,2,20,,
whistler,Whistler,southern-coast,1,1,1,0,2,44,,
williams-lake,Williams Lake,northern-bc,1,1,1,0,2,33,,
